"GeneID"	"GeneName"	"Family_Subfamily"	"ProteinClass"	"GO_MF"	"GO_BP"	"GO_CC"
"SORBI_3009G117300"	"Protein kinase domain-containing protein"	"RECEPTOR-LIKE CYTOPLASMIC KINASE 185 (PTHR47985:SF16)"	NA	"protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524)"	NA	"plasma membrane(GO:0005886)"
"SORBI_3007G082300"	"BTB domain-containing protein"	"BTB DOMAIN-CONTAINING PROTEIN (PTHR26379:SF482)"	NA	"metal ion binding(GO:0046872)"	"protein ubiquitination(GO:0016567)"	NA
"SORBI_3003G300100"	"BZIP domain-containing protein"	"BASIC LEUCINE ZIPPER 6 (PTHR46391:SF2)"	"basic leucine zipper transcription factor(PC00056)"	"DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700)"	"regulation of DNA-templated transcription(GO:0006355);positive regulation of DNA-templated transcription(GO:0045893)"	"nucleus(GO:0005634)"
"SORBI_3006G256801"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3004G245300"	"Uncharacterized protein"	"SUBFAMILY NOT NAMED (PTHR35547:SF8)"	NA	NA	NA	NA
"SORBI_3009G229600"	"TATA element modulatory factor 1 TATA binding domain-containing protein"	"GOLGIN CANDIDATE 5 (PTHR47347:SF2)"	NA	NA	NA	"cytoplasm(GO:0005737);Golgi apparatus(GO:0005794)"
"SORBI_3001G077700"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3001G339400"	"HMA domain-containing protein"	"HMA DOMAIN-CONTAINING PROTEIN (PTHR47005:SF18)"	NA	"metal ion binding(GO:0046872)"	"regulation of defense response to fungus(GO:1900150)"	NA
"SORBI_3001G481900"	"SAC domain-containing protein"	"OS03G0182400 PROTEIN (PTHR45738:SF3)"	"phosphatase(PC00181)"	"phosphatidylinositol-3,5-bisphosphate 5-phosphatase activity(GO:0043813)"	"phosphatidylinositol-3-phosphate biosynthetic process(GO:0036092);phosphatidylinositol dephosphorylation(GO:0046856)"	"vacuolar membrane(GO:0005774);membrane(GO:0016020);intracellular membrane-bounded organelle(GO:0043231)"
"SORBI_3002G004300"	"DUF4220 domain-containing protein"	"OS07G0105800 PROTEIN (PTHR31325:SF238)"	NA	NA	NA	"membrane(GO:0016020)"
"SORBI_3003G232700"	"Peptide deformylase"	"PEPTIDE DEFORMYLASE (PTHR10458:SF22)"	"hydrolase(PC00121)"	"hydrolase activity(GO:0016787);peptide deformylase activity(GO:0042586);metal ion binding(GO:0046872)"	"translation(GO:0006412)"	"chloroplast(GO:0009507)"
"SORBI_3007G116400"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3003G421600"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3001G179800"	"Uncharacterized protein"	"ALPHA-SOLUBLE NSF ATTACHMENT PROTEIN (PTHR13768:SF31)"	"membrane traffic protein(PC00150)"	"soluble NSF attachment protein activity(GO:0005483);syntaxin binding(GO:0019905)"	"intracellular protein transport(GO:0006886);protein transport(GO:0015031);vesicle-mediated transport(GO:0016192);SNARE complex disassembly(GO:0035494)"	"membrane(GO:0016020);SNARE complex(GO:0031201)"
"SORBI_3001G332050"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3001G029100"	"4a-hydroxytetrahydrobiopterin dehydratase"	"PTERIN-4-ALPHA-CARBINOLAMINE DEHYDRATASE, CHLOROPLASTIC-RELATED (PTHR12599:SF8)"	"dehydratase(PC00091)"	"4-alpha-hydroxytetrahydrobiopterin dehydratase activity(GO:0008124);lyase activity(GO:0016829)"	"tetrahydrobiopterin biosynthetic process(GO:0006729)"	"plastid(GO:0009536)"
"SORBI_3006G145300"	"4-hydroxy-7-methoxy-3-oxo-3,4-dihydro-2H-1,4-benzoxazin-2-yl glucosidebeta-D-glucosidase"	"BETA-GLUCOSIDASE 47 (PTHR10353:SF195)"	"glycosidase(PC00110)"	"hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);beta-glucosidase activity(GO:0008422);hydrolase activity(GO:0016787)"	"carbohydrate metabolic process(GO:0005975)"	NA
"SORBI_3010G175900"	"Uncharacterized protein"	"PROTEIN NRT1_ PTR FAMILY 4.6 (PTHR11654:SF98)"	"transporter(PC00227)"	"transmembrane transporter activity(GO:0022857)"	"transmembrane transport(GO:0055085)"	"membrane(GO:0016020)"
"SORBI_3002G330500"	"isopentenyl-diphosphate Delta-isomerase"	"ISOPENTENYL-DIPHOSPHATE DELTA-ISOMERASE (PTHR10885:SF18)"	"isomerase(PC00135)"	"isopentenyl-diphosphate delta-isomerase activity(GO:0004452);isomerase activity(GO:0016853)"	"isoprenoid biosynthetic process(GO:0008299);isopentenyl diphosphate biosynthetic process(GO:0009240);chlorophyll biosynthetic process(GO:0015995);dimethylallyl diphosphate biosynthetic process(GO:0050992)"	"cytoplasm(GO:0005737)"
"SORBI_3001G268300"	"Queuine tRNA-ribosyltransferase accessory subunit 2"	"QUEUINE TRNA-RIBOSYLTRANSFERASE ACCESSORY SUBUNIT 2 (PTHR46064:SF1)"	"RNA processing factor(PC00147)"	"tRNA-guanosine(34) queuine transglycosylase activity(GO:0008479);metal ion binding(GO:0046872)"	"tRNA modification(GO:0006400);tRNA processing(GO:0008033);tRNA-guanine transglycosylation(GO:0101030)"	"cytoplasm(GO:0005737)"
"SORBI_3001G250100"	"Thaumatin-like protein"	"OS10G0412700 PROTEIN (PTHR31048:SF8)"	NA	NA	"defense response(GO:0006952)"	NA
"SORBI_3003G411800"	"Protein kinase domain-containing protein"	"OS01G0927500 PROTEIN (PTHR27001:SF711)"	NA	"peptide receptor activity(GO:0001653);protein kinase activity(GO:0004672);signaling receptor binding(GO:0005102);ATP binding(GO:0005524);receptor serine/threonine kinase binding(GO:0033612)"	"signal transduction(GO:0007165);regulation of flower development(GO:0009909);regulation of meristem growth(GO:0010075);maintenance of root meristem identity(GO:0010078);phloem development(GO:0010088);regulation of cell differentiation(GO:0045595)"	"endoplasmic reticulum membrane(GO:0005789);plasma membrane(GO:0005886);membrane(GO:0016020)"
"SORBI_3004G138100"	"Calmodulin-binding domain-containing protein"	"OS02G0462200 PROTEIN (PTHR33349:SF21)"	NA	NA	NA	NA
"SORBI_3002G256800"	"Acyl-[acyl-carrier-protein] hydrolase"	"OLEOYL-ACYL CARRIER PROTEIN THIOESTERASE 1, CHLOROPLASTIC (PTHR31727:SF6)"	"esterase(PC00097)"	"acyl carrier activity(GO:0000036);fatty acyl-[ACP] hydrolase activity(GO:0016297);hydrolase activity(GO:0016787)"	"fatty acid biosynthetic process(GO:0006633)"	"chloroplast(GO:0009507)"
"SORBI_3009G131032"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3006G165700"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3001G322700"	"5-oxoprolinase"	"5-OXOPROLINASE (PTHR11365:SF2)"	"hydrolase(PC00121)"	"hydrolase activity(GO:0016787);5-oxoprolinase (ATP-hydrolyzing) activity(GO:0017168)"	"glutathione metabolic process(GO:0006749);glutathione catabolic process(GO:0006751)"	"cytosol(GO:0005829)"
"SORBI_3005G178800"	"FBD domain-containing protein"	"F-BOX DOMAIN-CONTAINING PROTEIN (PTHR34223:SF27)"	NA	NA	NA	NA
"SORBI_3004G255700"	"Uncharacterized protein"	"ACTIN PATCHES DISTAL PROTEIN 1 (PTHR31902:SF14)"	NA	NA	NA	"membrane(GO:0016020)"
"SORBI_3006G246900"	"Protein KAKU4"	"OS04G0655600 PROTEIN (PTHR33416:SF37)"	NA	NA	"nuclear membrane organization(GO:0071763)"	"nuclear envelope(GO:0005635)"
"SORBI_3009G171900"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3001G331100"	"Lipase-like protein"	"LIPASE-LIKE PROTEIN (PTHR31300:SF29)"	"lipase(PC00143)"	NA	NA	NA
"SORBI_3004G009600"	"Brahma1"	"ATP-DEPENDENT HELICASE BRM (PTHR10799:SF978)"	"DNA helicase(PC00011)"	"DNA binding(GO:0003677);chromatin binding(GO:0003682);helicase activity(GO:0004386);ATP binding(GO:0005524);hydrolase activity(GO:0016787);nucleosome array spacer activity(GO:0140750)"	"chromatin remodeling(GO:0006338);regulation of DNA-templated transcription(GO:0006355);heterochromatin formation(GO:0031507);positive regulation of transcription by RNA polymerase II(GO:0045944)"	"chromatin(GO:0000785);nucleus(GO:0005634)"
"SORBI_3007G003200"	"FAD-binding PCMH-type domain-containing protein"	"FAD-BINDING PCMH-TYPE DOMAIN-CONTAINING PROTEIN (PTHR32448:SF79)"	NA	"oxidoreductase activity(GO:0016491);FAD binding(GO:0071949)"	NA	NA
"SORBI_3009G085001"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3008G025700"	"Cytochrome P450-like protein"	"LANOSTEROL 14-ALPHA DEMETHYLASE (PTHR24286:SF24)"	"oxygenase(PC00177)"	"monooxygenase activity(GO:0004497);iron ion binding(GO:0005506);oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen(GO:0016705);heme binding(GO:0020037);metal ion binding(GO:0046872)"	"sterol biosynthetic process(GO:0016126)"	"membrane(GO:0016020)"
"SORBI_3002G361001"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3004G351600"	"Nonsense-mediated mRNA decay factor SMG8"	"NONSENSE-MEDIATED MRNA DECAY FACTOR SMG8 (PTHR13091:SF0)"	NA	NA	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay(GO:0000184)"	NA
"SORBI_3003G359350"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3003G408300"	"Anaphase-promoting complex subunit 4-like WD40 domain-containing protein"	"PERIODIC TRYPTOPHAN PROTEIN 1 HOMOLOG (PTHR14091:SF0)"	"chromatin/chromatin-binding, or -regulatory protein(PC00077)"	NA	"rRNA processing(GO:0006364)"	"nucleus(GO:0005634)"
"SORBI_3006G067900"	"Uncharacterized protein"	"OS01G0191000 PROTEIN (PTHR36047:SF1)"	NA	NA	NA	NA
"SORBI_3003G122100"	"geranylgeranyl diphosphate reductase"	"GERANYLGERANYL DIPHOSPHATE REDUCTASE (PTHR42685:SF13)"	"oxidoreductase(PC00176)"	"oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor(GO:0016628);geranylgeranyl reductase activity(GO:0045550);FAD binding(GO:0071949);geranylgeranyl diphosphate reductase activity(GO:0102067)"	"photosynthesis(GO:0015979);chlorophyll biosynthetic process(GO:0015995)"	NA
"SORBI_3001G300900"	"Uncharacterized protein"	"EXPANSIN-B3 (PTHR31692:SF17)"	NA	NA	"sexual reproduction(GO:0019953);cell wall organization(GO:0071555)"	"extracellular region(GO:0005576)"
"SORBI_3003G257400"	"Probable purine permease"	"PURINE PERMEASE 4-RELATED (PTHR31376:SF3)"	NA	"purine nucleobase transmembrane transporter activity(GO:0005345);purine nucleoside transmembrane transporter activity(GO:0015211)"	"purine nucleobase transport(GO:0006863);purine nucleoside transmembrane transport(GO:0015860);purine nucleobase transmembrane transport(GO:1904823)"	"membrane(GO:0016020)"
"SORBI_3003G241100"	"Endopeptidase S2P"	"MEMBRANE-BOUND TRANSCRIPTION FACTOR SITE-2 PROTEASE (PTHR13325:SF3)"	"metalloprotease(PC00153)"	"metalloendopeptidase activity(GO:0004222)"	"proteolysis(GO:0006508);response to salt stress(GO:0009651);membrane protein intracellular domain proteolysis(GO:0031293);cellular hyperosmotic salinity response(GO:0071475);regulation of brassinosteroid mediated signaling pathway(GO:1900457);regulation of response to endoplasmic reticulum stress(GO:1905897)"	"Golgi membrane(GO:0000139);cytoplasm(GO:0005737);endomembrane system(GO:0012505);membrane(GO:0016020)"
"SORBI_3002G003400"	"Peroxidase"	"PEROXIDASE (PTHR31235:SF239)"	"peroxidase(PC00180)"	"peroxidase activity(GO:0004601);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)"	"response to stress(GO:0006950);response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)"	"extracellular region(GO:0005576);plant-type cell wall(GO:0009505)"
"SORBI_3006G161200"	"Gnk2-homologous domain-containing protein"	"PLASMODESMATA-LOCATED PROTEIN 8 (PTHR32080:SF2)"	NA	NA	NA	"plasma membrane(GO:0005886);plasmodesma(GO:0009506);membrane(GO:0016020);anchoring junction(GO:0070161)"
"SORBI_3007G196201"	"RING-type domain-containing protein"	"RING-TYPE DOMAIN-CONTAINING PROTEIN (PTHR46629:SF2)"	NA	"zinc ion binding(GO:0008270)"	NA	NA
"SORBI_3004G272900"	"Survival motor neuron Tudor domain-containing protein"	"SURVIVAL MOTOR NEURON PROTEIN (PTHR39267:SF1)"	NA	NA	NA	NA
"SORBI_3001G206400"	"Fiber protein Fb34"	"PROTEIN FB34, PUTATIVE, EXPRESSED-RELATED (PTHR31769:SF60)"	NA	NA	NA	"endomembrane system(GO:0012505);membrane(GO:0016020)"
"SORBI_3005G015100"	"DUF295 domain-containing protein"	"F-BOX DOMAIN-CONTAINING PROTEIN (PTHR33110:SF43)"	NA	NA	NA	NA
"SORBI_3007G137300"	"MYB-CC type transcription factor LHEQLE-containing domain-containing protein"	"MYB FAMILY TRANSCRIPTION FACTOR PHL8 (PTHR31499:SF11)"	"homeodomain transcription factor(PC00119)"	"DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700)"	"regulation of DNA-templated transcription(GO:0006355)"	NA
"SORBI_3007G102400"	"Aminotransferase-like plant mobile domain-containing protein"	"AMINOTRANSFERASE-LIKE PLANT MOBILE DOMAIN-CONTAINING PROTEIN (PTHR48243:SF1)"	NA	NA	NA	NA
"SORBI_3008G088100"	"OB domain-containing protein (Fragment)"	"REPLICATION PROTEIN A 32 KDA SUBUNIT B (PTHR13989:SF49)"	NA	"DNA binding(GO:0003677);single-stranded DNA binding(GO:0003697);telomeric DNA binding(GO:0042162)"	"double-strand break repair via homologous recombination(GO:0000724);DNA replication(GO:0006260);nucleotide-excision repair(GO:0006289)"	"chromosome, telomeric region(GO:0000781);nucleus(GO:0005634);DNA replication factor A complex(GO:0005662);site of double-strand break(GO:0035861)"
"SORBI_3003G352200"	"Uncharacterized protein"	"TRANSCRIPTION FACTOR MYB3R-3-RELATED (PTHR45614:SF194)"	"homeodomain transcription factor(PC00119)"	"RNA polymerase II cis-regulatory region sequence-specific DNA binding(GO:0000978);DNA-binding transcription factor activity, RNA polymerase II-specific(GO:0000981);DNA binding(GO:0003677)"	"regulation of DNA-templated transcription(GO:0006355);regulation of transcription by RNA polymerase II(GO:0006357)"	"nucleus(GO:0005634)"
"SORBI_3001G122900"	"Calponin-homology (CH) domain-containing protein"	"GAS2-LIKE PROTEIN PICKLED EGGS (PTHR46756:SF18)"	"cytoskeletal protein(PC00085)"	"actin filament binding(GO:0051015)"	"actin crosslink formation(GO:0051764)"	"membrane(GO:0016020)"
"SORBI_3002G208900"	"Glutamate receptor"	"GLUTAMATE RECEPTOR (PTHR18966:SF379)"	"transmembrane signal receptor(PC00197)"	"G protein-coupled receptor activity(GO:0004930);ligand-gated monoatomic ion channel activity(GO:0015276);signaling receptor activity(GO:0038023)"	"G protein-coupled receptor signaling pathway(GO:0007186);monoatomic ion transmembrane transport(GO:0034220)"	"plasma membrane(GO:0005886);membrane(GO:0016020)"
"SORBI_3007G210400"	"Lipoxygenase"	"LIPOXYGENASE 7, CHLOROPLASTIC (PTHR11771:SF127)"	"oxygenase(PC00177)"	"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen(GO:0016702);metal ion binding(GO:0046872);dioxygenase activity(GO:0051213)"	"fatty acid biosynthetic process(GO:0006633);oxylipin biosynthetic process(GO:0031408);lipid oxidation(GO:0034440)"	NA
"SORBI_3005G210500"	"ATP-dependent DNA helicase"	"RECQ-LIKE DNA HELICASE BLM (PTHR13710:SF153)"	"DNA helicase(PC00011)"	"nucleic acid binding(GO:0003676);helicase activity(GO:0004386);ATP binding(GO:0005524);four-way junction helicase activity(GO:0009378);hydrolase activity(GO:0016787);isomerase activity(GO:0016853);ATP hydrolysis activity(GO:0016887);double-stranded DNA helicase activity(GO:0036121);3'-5' DNA helicase activity(GO:0043138);forked DNA-dependent helicase activity(GO:0061749);single-stranded 3'-5' DNA helicase activity(GO:1990518)"	"double-strand break repair via homologous recombination(GO:0000724);DNA replication(GO:0006260);DNA recombination(GO:0006310)"	"nucleus(GO:0005634);chromosome(GO:0005694);cytoplasm(GO:0005737)"
"SORBI_3004G132300"	"Lysine ketoglutarate reductase trans-splicing related 1"	"OS02G0297600 PROTEIN (PTHR31210:SF72)"	NA	NA	NA	"membrane(GO:0016020)"
"SORBI_3001G041450"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3009G091900"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3003G040200"	"Ribosomal protein L18ae family"	"60S RIBOSOMAL L18A-LIKE PROTEIN (PTHR46666:SF2)"	NA	NA	NA	"membrane(GO:0016020)"
"SORBI_3003G033100"	"TRAM domain-containing protein"	"TRNA (URACIL(54)-C(5))-METHYLTRANSFERASE (PTHR11061:SF30)"	"RNA methyltransferase(PC00033)"	"mRNA binding(GO:0003729);methyltransferase activity(GO:0008168);RNA methyltransferase activity(GO:0008173)"	"RNA processing(GO:0006396);response to cold(GO:0009409);methylation(GO:0032259)"	NA
"SORBI_3003G030500"	"DEAD-box ATP-dependent RNA helicase 20"	"DEAD-BOX ATP-DEPENDENT RNA HELICASE 20 (PTHR47958:SF59)"	"RNA helicase(PC00032)"	"nucleic acid binding(GO:0003676);RNA binding(GO:0003723);RNA helicase activity(GO:0003724);mRNA binding(GO:0003729);helicase activity(GO:0004386);ATP binding(GO:0005524);hydrolase activity(GO:0016787)"	NA	"nucleus(GO:0005634);cytoplasm(GO:0005737);ribonucleoprotein complex(GO:1990904)"
"SORBI_3001G448350"	"Aminotransferase-like plant mobile domain-containing protein"	NA	NA	NA	NA	NA
"SORBI_3001G540100"	"Branched-chain-amino-acid aminotransferase"	"BRANCHED-CHAIN-AMINO-ACID AMINOTRANSFERASE (PTHR42825:SF34)"	"transaminase(PC00216)"	"branched-chain-amino-acid transaminase activity(GO:0004084);transaminase activity(GO:0008483);L-leucine-2-oxoglutarate transaminase activity(GO:0052654);L-valine-2-oxoglutarate transaminase activity(GO:0052655);L-isoleucine-2-oxoglutarate transaminase activity(GO:0052656)"	"amino acid biosynthetic process(GO:0008652);branched-chain amino acid metabolic process(GO:0009081);branched-chain amino acid biosynthetic process(GO:0009082)"	"chloroplast(GO:0009507)"
"SORBI_3008G063000"	"Uncharacterized protein"	"THIOREDOXIN M1 (PTHR10378:SF35)"	"transcription cofactor(PC00217)"	"transcription coregulator activity(GO:0003712)"	"negative regulation of transcription by RNA polymerase II(GO:0000122);positive regulation of transcription by RNA polymerase II(GO:0045944)"	"nucleus(GO:0005634);transcription regulator complex(GO:0005667)"
"SORBI_3002G416600"	"Peroxidase"	"PEROXIDASE (PTHR31388:SF256)"	"peroxidase(PC00180)"	"peroxidase activity(GO:0004601);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)"	"response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)"	"extracellular region(GO:0005576)"
"SORBI_3001G311200"	"Uncharacterized protein"	"METALLOTHIONEIN-LIKE PROTEIN 4A-RELATED (PTHR48198:SF1)"	NA	"zinc ion binding(GO:0008270);metal ion binding(GO:0046872)"	NA	NA
"SORBI_3003G329800"	"Leucine-rich repeat-containing N-terminal plant-type domain-containing protein"	"LEUCINE-RICH REPEAT PROTEIN 1-RELATED (PTHR48054:SF26)"	"transmembrane signal receptor(PC00197)"	NA	NA	NA
"SORBI_3004G105300"	"Peroxidase"	"PEROXIDASE (PTHR31388:SF17)"	"peroxidase(PC00180)"	"peroxidase activity(GO:0004601);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)"	"response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)"	"extracellular region(GO:0005576)"
"SORBI_3002G429000"	"pyruvate decarboxylase"	"PYRUVATE DECARBOXYLASE 3 (PTHR43452:SF5)"	"decarboxylase(PC00089)"	"pyruvate decarboxylase activity(GO:0004737);carboxy-lyase activity(GO:0016831);thiamine pyrophosphate binding(GO:0030976);metal ion binding(GO:0046872)"	"aromatic amino acid family catabolic process to alcohol via Ehrlich pathway(GO:0000949)"	"cytosol(GO:0005829)"
"SORBI_3001G221500"	"glutamate--tRNA ligase"	"GLUTAMATE--TRNA LIGASE (PTHR43097:SF5)"	"aminoacyl-tRNA synthetase(PC00047)"	"aminoacyl-tRNA ligase activity(GO:0004812);glutamate-tRNA ligase activity(GO:0004818);ATP binding(GO:0005524)"	"translation(GO:0006412);glutamyl-tRNA aminoacylation(GO:0006424);post-embryonic development(GO:0009791);reproductive structure development(GO:0048608)"	"cytoplasm(GO:0005737);cytosol(GO:0005829);methionyl glutamyl tRNA synthetase complex(GO:0017102);protein-containing complex(GO:0032991)"
"SORBI_3002G405600"	"Ataxin-2 C-terminal domain-containing protein"	"PROTEIN EARLY RESPONSIVE TO DEHYDRATION 15 (PTHR33790:SF10)"	NA	NA	NA	NA
"SORBI_3001G496100"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3001G430800"	"UDENN domain-containing protein"	"LD41638P (PTHR13677:SF0)"	NA	"guanyl-nucleotide exchange factor activity(GO:0005085)"	NA	"recycling endosome(GO:0055037)"
"SORBI_3001G427300"	"Glycosyltransferase subfamily 4-like N-terminal domain-containing protein"	"GLYCOSYL TRANSFERASE, GROUP 1 FAMILY PROTEIN, EXPRESSED (PTHR45947:SF1)"	"transferase(PC00220)"	"glycosyltransferase activity(GO:0016757);UDP-sulfoquinovose:DAG sulfoquinovosyltransferase activity(GO:0046510)"	"glycolipid biosynthetic process(GO:0009247);sulfolipid biosynthetic process(GO:0046506)"	"membrane(GO:0016020)"
"SORBI_3004G142900"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3007G197900"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3005G166800"	"Obtusifoliol 14-alpha demethylase"	"OS05G0416400 PROTEIN (PTHR24286:SF40)"	"oxygenase(PC00177)"	"monooxygenase activity(GO:0004497);iron ion binding(GO:0005506);oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen(GO:0016705);heme binding(GO:0020037);metal ion binding(GO:0046872)"	"sterol biosynthetic process(GO:0016126)"	"membrane(GO:0016020)"
"SORBI_3004G159400"	"Nudix hydrolase domain-containing protein"	"OS02G0520100 PROTEIN (PTHR12629:SF77)"	"phosphatase(PC00181)"	"pyrophosphatase activity(GO:0016462);hydrolase activity(GO:0016787);metal ion binding(GO:0046872)"	NA	"nucleus(GO:0005634);cytoplasm(GO:0005737)"
"SORBI_3006G118000"	"Uncharacterized protein"	"OS04G0475300 PROTEIN (PTHR38364:SF1)"	NA	NA	NA	"membrane(GO:0016020)"
"SORBI_3006G102300"	"Major facilitator superfamily (MFS) profile domain-containing protein"	"MAJOR FACILITATOR SUPERFAMILY (MFS) PROFILE DOMAIN-CONTAINING PROTEIN (PTHR23500:SF537)"	"secondary carrier transporter(PC00258)"	"monosaccharide transmembrane transporter activity(GO:0015145);symporter activity(GO:0015293)"	"monosaccharide transmembrane transport(GO:0015749)"	"membrane(GO:0016020)"
"SORBI_3003G232400"	"AB hydrolase-1 domain-containing protein"	"ALPHA_BETA-HYDROLASES SUPERFAMILY PROTEIN (PTHR43139:SF61)"	"serine protease(PC00203)"	"catalytic activity(GO:0003824)"	NA	NA
"SORBI_3005G038000"	"Uncharacterized protein"	"OS12G0151600 PROTEIN (PTHR33601:SF6)"	NA	NA	NA	NA
"SORBI_3001G365900"	"CID domain-containing protein"	"OS03G0358000 PROTEIN (PTHR12550:SF83)"	"transcription cofactor(PC00217)"	NA	"chromatin remodeling(GO:0006338);mRNA processing(GO:0006397)"	"nucleus(GO:0005634)"
"SORBI_3004G176700"	"ACT domain-containing protein ACR"	"ACT DOMAIN-CONTAINING PROTEIN ACR3 (PTHR31096:SF5)"	NA	"amino acid binding(GO:0016597)"	NA	NA
"SORBI_3001G492800"	"Uncharacterized protein"	"GB|AAD30234.1 (PTHR31300:SF3)"	"lipase(PC00143)"	NA	"plant-type cell wall organization(GO:0009664);xylem vessel member cell differentiation(GO:0048759);regulation of plant-type cell wall cellulose biosynthetic process(GO:2001009)"	NA
"SORBI_3004G345400"	"Actin-related protein 2_3 complex subunit"	"ACTIN-RELATED PROTEIN 2_3 COMPLEX SUBUNIT (PTHR10709:SF2)"	"actin or actin-binding cytoskeletal protein(PC00041)"	"actin binding(GO:0003779);actin filament binding(GO:0051015)"	"actin cytoskeleton organization(GO:0030036);Arp2/3 complex-mediated actin nucleation(GO:0034314)"	"cytoplasm(GO:0005737);cytoskeleton(GO:0005856);Arp2/3 protein complex(GO:0005885);actin cytoskeleton(GO:0015629)"
"SORBI_3007G102700"	"BZIP domain-containing protein"	NA	NA	NA	NA	NA
"SORBI_3002G361900"	"WPP domain-containing protein"	"WPP DOMAIN-CONTAINING PROTEIN 1-RELATED (PTHR34362:SF1)"	NA	NA	"mitotic cell cycle(GO:0000278);lateral root development(GO:0048527)"	"nucleus(GO:0005634);cytoplasm(GO:0005737)"
"SORBI_3004G001700"	"Wall-associated receptor kinase galacturonan-binding domain-containing protein"	"POLLEN OLE E 1 ALLERGEN AND EXTENSIN FAMILY PROTEIN (PTHR33210:SF24)"	NA	NA	NA	NA
"SORBI_3010G228400"	"RING-CH-type domain-containing protein"	"OS02G0165000 PROTEIN (PTHR46158:SF2)"	NA	"zinc ion binding(GO:0008270)"	NA	"membrane(GO:0016020)"
"SORBI_3001G490950"	"PIR2-like helical domain-containing protein"	NA	NA	NA	NA	NA
"SORBI_3002G246600"	"BHLH domain-containing protein"	"BHLH DOMAIN-CONTAINING PROTEIN (PTHR16223:SF334)"	"basic helix-loop-helix transcription factor(PC00055)"	"RNA polymerase II cis-regulatory region sequence-specific DNA binding(GO:0000978);DNA-binding transcription factor activity, RNA polymerase II-specific(GO:0000981);DNA-binding transcription factor activity(GO:0003700);protein dimerization activity(GO:0046983)"	"regulation of DNA-templated transcription(GO:0006355);regulation of transcription by RNA polymerase II(GO:0006357)"	"nucleus(GO:0005634)"
"SORBI_3010G033400"	"Pre-mRNA-splicing factor 38"	"PRE-MRNA-SPLICING FACTOR 38 (PTHR23142:SF3)"	NA	NA	"mRNA splicing, via spliceosome(GO:0000398);mRNA processing(GO:0006397);RNA splicing(GO:0008380)"	"nucleus(GO:0005634);spliceosomal complex(GO:0005681);precatalytic spliceosome(GO:0071011)"
"SORBI_3002G373600"	"VWFA domain-containing protein"	"INTER-ALPHA-TRYPSIN INHIBITOR HEAVY CHAIN-RELATED (PTHR46503:SF6)"	NA	NA	NA	NA
"SORBI_3004G062300"	"FAS1 domain-containing protein"	"FASCICLIN-LIKE ARABINOGALACTAN PROTEIN 3 (PTHR32382:SF34)"	"cell adhesion molecule(PC00069)"	NA	NA	"plasma membrane(GO:0005886);side of membrane(GO:0098552)"
"SORBI_3003G091700"	"RING-type E3 ubiquitin transferase"	"RING-TYPE E3 UBIQUITIN TRANSFERASE (PTHR46632:SF9)"	"ubiquitin-protein ligase(PC00234)"	"zinc ion binding(GO:0008270)"	"protein ubiquitination(GO:0016567)"	NA
